adjective,noun,article,adj_article
fat,hen,a,a
castle,puzzle,a,a
red,hexagon,a,a
red,dog,a,a
glazed,window,a,a
horned,viper,a,a
round,body,a,a
coral,reef,a,a
girl,glass,a,a
pipe,cover,a,a
elephant,mommy,a,an
smiley,cake,a,a
yellow,slab,a,a
top,buckle,a,a
green,suit,a,a
green,chain,a,a
purple,scissors,NA,NA
purple,circle,a,a
roast,marshmallow,a,a
cookie,sheet,a,a
street,corner,a,a
bath,tile,a,a
yellow,belt,a,a
green,horse,a,a
bed,breakfast,a,a
woolly,sheep,a,a
bald,head,a,a
brown,stick,a,a
bridge,piece,a,a
giant,fish,a,a
colored,ring,a,a
farm,vehicle,a,a
yellow,zucchini,a,a
strawberry,oatmeal,NA,NA
garlic,powder,NA,NA
wooden,train,a,a
orange,pumpkin,a,an
pumpkin,face,a,a
toy,basket,a,a
outside,room,a,an
earth,worm,a,an
fat,body,a,a
bite,mark,a,a
snow,tire,a,a
red,bag,a,a
bright,light,a,a
football,game,a,a
navy,stripe,a,a
ear,ring,a,an
room,door,a,a
puzzle,piece,a,a
dark,screen,a,a
bear,mask,a,a
blood,test,a,a
orange,necklace,a,an
pee,diaper,a,a
apple,head,a,an
room,suite,a,a
strawberry,sauce,NA,NA
dictionary,publisher,a,a
giant,sandwich,a,a
riding,toy,a,a
purple,truck,a,a
baby,pool,a,a
green,leaf,a,a
back,side,a,a
wet,shoe,a,a
turkey,sty,a,a
fridge,magnet,a,a
yellow,costume,a,a
gas,cooker,a,a
mother,alligator,an,a
oval,triangle,a,an
green,tomato,a,a
red,horse,a,a
light,switch,a,a
dead,ornament,an,a
pigeon,shit,NA,NA
apple,slice,a,an
wet,girl,a,a
candy,machine,a,a
jam,pot,a,a
lighting,hallway,a,a
music,toy,a,a
kitchen,counter,a,a
green,slide,a,a
steam,shovel,a,a
baby,hippo,a,a
carrot,stick,a,a
sleeve,shirt,a,a
goods,shop,a,a
file,drawer,a,a
dirty,daddy,a,a
solid,smack,a,a
balloon,streamer,a,a
foot,length,a,a
dead,skin,NA,NA
sidewalk,chalk,NA,NA
fat,bunny,a,a
apple,tea,NA,NA
dirty,foot,a,a
record,run,a,a
seaside,cart,a,a
round,globe,a,a
purple,onion,an,a
red,cookie,a,a
school,teacher,a,a
dirty,water,NA,NA
curling,brush,a,a
girl,kiss,a,a
brown,dirt,NA,NA
circus,tent,a,a
hot,macaroni,NA,NA
dark,green,NA,NA
cinnamon,stick,a,a
ham,salad,a,a
roast,lamb,a,a
school,girl,a,a
crispy,worm,a,a
gold,weaver,a,a
yellow,hoop,a,a
honey,pie,a,a
pencil,show,a,a
arrow,sign,a,an
track,suit,a,a
train,gate,a,a
red,notebook,a,a
oak,chest,a,an
navy,skirt,a,a
pink,robe,a,a
thick,eyelash,an,a
slide,leg,a,a
cellar,door,a,a
maple,bar,a,a
motorway,bridge,a,a
cardboard,box,a,a
freezing,road,a,a
orange,tea,NA,NA
statue,toy,a,a
crispy,brown,NA,NA
web,shooter,a,a
purple,bed,a,a
wastepaper,basket,a,a
snow,leopard,a,a
back,flip,a,a
purple,cup,a,a
peach,juice,NA,NA
sweet,chocolate,NA,NA
dark,line,a,a
brown,egg,an,a
train,ride,a,a
red,room,a,a
red,coral,NA,NA
dirty,tissue,a,a
orange,glasses,NA,NA
orange,tube,a,an
explorer,suit,a,an
glass,table,a,a
colored,paper,a,a
trash,truck,a,a
fuzzy,slipper,a,a
bottom,tooth,a,a
girl,bed,a,a
tennis,court,a,a
boxing,glove,a,a
hot,mom,a,a
feather,mattress,a,a
jelly,fish,a,a
tonic,water,NA,NA
dirty,bowl,a,a
dolphin,family,a,a
stroller,toy,a,a
green,tail,a,a
silver,bell,a,a
red,flag,a,a
tattoo,heart,a,a
hot,water,NA,NA
baby,penguin,a,a
dress,piece,a,a
smiley,guy,a,a
hot,pepper,a,a
farm,tractor,a,a
curly,tail,a,a
oatmeal,pie,a,an
green,jacket,a,a
back,porch,a,a
thick,canopy,a,a
green,vegetable,a,a
purple,cat,a,a
dead,mommy,a,a
baby,elephant,an,a
bottom,lip,a,a
bird,cage,a,a
thick,clip,a,a
kitty,cat,a,a
office,phone,a,an
bottom,row,a,a
brown,spot,a,a
sun,lotion,NA,NA
yellow,bill,a,a
brown,bear,a,a
garbage,can,a,a
rice,cake,a,a
dancing,bud,a,a
hot,air,NA,NA
wooden,puzzle,a,a
piano,piece,a,a
yellow,hair,NA,NA
bear,mama,a,a
pink,eyeball,an,a
smiley,girl,a,a
quarter,cup,a,a
cum,store,a,a
marine,tank,a,a
teacher,day,a,a
green,edge,an,a
paint,can,a,a
night,gown,a,a
cartoon,ring,a,a
ski,pants,NA,NA
green,beard,a,a
sugar,snack,a,a
soup,kitchen,a,a
queen,crab,a,a
snow,book,a,a
hot,bowl,a,a
turtle,shell,a,a
night,dress,a,a
snow,dog,a,a
dish,cloth,a,a
cylinder,gas,NA,NA
baby,stroller,a,a
cursive,letter,a,a
yellow,dragon,a,a
grape,fruit,a,a
red,sweet,a,a
green,scooter,a,a
yellow,duckling,a,a
orange,sticker,a,an
dirty,crayon,a,a
stone,cup,a,a
gold,ticket,a,a
girl,hood,a,a
giant,shadow,a,a
concrete,driveway,a,a
purple,dinosaur,a,a
cereal,box,a,a
moon,game,a,a
girl,colors,a,a
burnt,charcoal,NA,NA
train,station,a,a
boy,sock,a,a
wood,window,a,a
green,triceratops,a,a
thick,model,a,a
bottom,stair,a,a
kettle,drum,a,a
baby,bunny,a,a
closet,door,a,a
brown,bread,NA,NA
corn,fan,a,a
pink,noodle,a,a
purple,bunny,a,a
chip,cookie,a,a
green,airplane,an,a
corner,house,a,a
bottom,cupboard,a,a
poison,berry,a,a
plastic,bottle,a,a
pink,bubblegum,NA,NA
yellow,pants,NA,NA
cell,phone,a,a
yellow,overalls,NA,NA
fruit,sherry,NA,NA
cellar,key,a,a
tire,swing,a,a
mommy,squirrel,a,a
round,case,a,a
baby,food,NA,NA
night,armadillo,an,a
orange,box,a,an
back,alley,an,a
paper,cup,a,a
pound,note,a,a
vegetable,salad,a,a
college,lecturer,a,a
yellow,submarine,a,a
bunny,rabbit,a,a
water,board,a,a
ear,infection,an,an
baby,piggy,a,a
pecan,cluster,a,a
yellow,man,a,a
green,jungle,a,a
broken,bag,a,a
nail,polish,NA,NA
dead,fish,a,a
pregnant,person,a,a
thick,wood,NA,NA
sea,green,NA,NA
carrot,peel,a,a
yarn,basket,a,a
walk,path,a,a
purple,star,a,a
eight,piece,a,an
bed,sheet,a,a
pill,box,a,a
blackberry,patch,a,a
fuzzy,teddy,a,a
red,color,a,a
hind,leg,a,a
jungle,gym,a,a
dirty,player,a,a
curtain,window,a,a
cigar,smoke,NA,NA
baby,boy,a,a
orange,sweater,a,an
fudge,sundae,a,a
knitting,basket,a,a
water,melon,a,a
garlic,bread,NA,NA
pole,light,a,a
brown,syrup,NA,NA
crispy,patty,a,a
crescent,moon,a,a
gun,guard,a,a
bingo,game,a,a
marble,arch,an,a
toy,train,a,a
dead,puppy,a,a
red,clay,NA,NA
silky,blanket,a,a
door,valve,a,a
plant,root,a,a
mommy,fish,a,a
pirate,flag,a,a
broken,balloon,a,a
bright,orange,an,a
red,scissors,NA,NA
egg,soup,NA,NA
fish,aquarium,an,a
clothes,basket,a,a
garden,tool,a,a
sleep,walk,a,a
blood,cell,a,a
baby,ostrich,an,a
dinner,table,a,a
purple,noodle,a,a
cast,iron,an,a
cry,baby,a,a
baby,sheep,a,a
green,room,a,a
grey,boot,a,a
pink,yogurt,NA,NA
pirate,movie,a,a
pink,shoe,a,a
wooden,hammer,a,a
pet,toy,a,a
frozen,bean,a,a
fat,elephant,an,a
dogs,biscuit,a,a
hot,coffee,NA,NA
purple,lipstick,NA,NA
stew,pot,a,a
brown,table,a,a
jellyfish,family,a,a
sleeping,bag,a,a
hot,piggy,a,a
multicolored,sign,a,a
dog,poop,NA,NA
farm,movie,a,a
green,hat,a,a
green,flag,a,a
navy,coat,a,a
microwave,lid,a,a
flat,roof,a,a
green,park,a,a
red,stair,a,a
path,hedge,a,a
plastic,track,a,a
dirty,banana,a,a
alphabet,block,a,an
baby,parrot,a,a
train,car,a,a
purple,snail,a,a
green,zebra,a,a
horse,manure,NA,NA
yellow,cake,a,a
music,book,a,a
carrot,cake,a,a
rolling,pin,a,a
yellow,top,a,a
giant,frog,a,a
wooden,stick,a,a
dark,flower,a,a
home,county,a,a
green,book,a,a
dirty,cave,a,a
pink,skirt,a,a
fat,mama,a,a
green,dog,a,a
cookie,bake,a,a
alphabet,puzzle,a,an
garden,shed,a,a
night,crawler,a,a
orange,pop,a,an
pop,corn,a,a
ox,tail,a,an
pound,hammer,a,a
heart,attack,an,a
brown,shoe,a,a
jaw,bone,a,a
red,lobster,a,a
cracker,box,a,a
green,thumb,a,a
wig,hair,NA,NA
caramel,sauce,NA,NA
curly,head,a,a
wet,grandpa,a,a
slope,test,a,a
baby,panda,a,a
gas,fire,NA,NA
boy,tooth,a,a
yellow,handle,a,a
marble,roll,a,a
twin,deck,a,a
potty,sticker,a,a
orange,plant,a,an
coffee,machine,a,a
jelly,container,a,a
round,pumpkin,a,a
body,puppet,a,a
daddy,waffle,a,a
giant,dump,a,a
lobster,hat,a,a
outside,world,a,an
yellow,chicken,a,a
bean,ball,a,a
red,ice,NA,NA
farm,shop,a,a
garlic,salt,NA,NA
pink,honey,NA,NA
weenie,firefly,a,a
fat,tummy,a,a
cloud,smoke,NA,NA
car,boot,a,a
phone,line,a,a
art,advisor,an,an
top,molar,a,a
wrapping,paper,a,a
road,sign,a,a
hand,drive,a,a
bloody,nose,a,a
baby,bottle,a,a
yellow,lip,a,a
pink,shorts,NA,NA
fire,alarm,an,a
north,pole,a,a
dog,mama,a,a
wiggle,dancing,NA,NA
examination,board,a,an
bull,ant,an,a
brown,cap,a,a
kid,ride,a,a
yellow,ball,a,a
man,book,a,a
door,bell,a,a
dart,board,a,a
puppet,baby,a,a
dinner,break,a,a
granite,horse,a,a
chest,plate,a,a
record,case,a,a
whale,hat,a,a
mommy,daddy,a,a
dinosaur,skull,a,a
tree,farm,a,a
orange,kitty,a,an
clown,nose,a,a
potty,break,a,a
bread,basket,a,a
giraffe,leg,a,a
fat,squirrel,a,a
fish,guts,NA,NA
bubble,soap,NA,NA
fuzzy,creature,a,a
basket,ball,a,a
red,wagon,a,a
matchbox,car,a,a
jungle,ride,a,a
quiz,game,a,a
colored,green,NA,NA
gold,ring,a,a
paint,drip,a,a
wet,slab,a,a
green,blanket,a,a
oil,filter,a,an
tan,car,a,a
green,grasshopper,a,a
bowling,ball,a,a
hot,tap,a,a
onion,ring,a,an
petrol,account,an,a
thistle,patch,a,a
dirty,mommy,a,a
bright,picture,a,a
picture,book,a,a
step,stool,a,a
tree,branch,a,a
apple,cookie,a,an
bar,staff,NA,NA
rock,crowd,a,a
dirty,bottom,a,a
bug,lift,a,a
onion,gravy,NA,NA
skirt,stain,a,a
green,grape,a,a
night,sky,a,a
solid,feed,NA,NA
sky,diving,NA,NA
pirate,hat,a,a
giant,pillow,a,a
green,side,a,a
green,shirt,a,a
pink,mirror,a,a
red,ear,an,a
blowing,bubble,a,a
grey,coat,a,a
giant,octopus,an,a
dwarf,tree,a,a
slippery,balloon,a,a
baby,pumpkin,a,a
jelly,sandwich,a,a
octopus,video,a,an
hill,track,a,a
fuzzy,pants,NA,NA
spider,web,a,a
pony,ride,a,a
card,table,a,a
giant,bean,a,a
song,book,a,a
art,school,a,an
head,office,an,a
tire,mold,a,a
bear,sleeping,NA,NA
ice,cube,a,an
dead,fly,a,a
dog,sticker,a,a
food,coloring,NA,NA
apple,farm,a,an
bedroom,bathroom,a,a
sweet,drink,a,a
hot,egg,an,a
beach,token,a,a
brown,basket,a,a
candy,corn,a,a
library,book,a,a
train,track,a,a
orange,wall,a,an
nylon,shirt,a,a
purple,pepperoni,NA,NA
muscle,tissue,a,a
outside,line,a,an
blind,mouse,a,a
coral,piece,a,a
key,board,a,a
water,filter,a,a
root,beer,a,a
turkey,chip,a,a
grocery,store,a,a
back,seat,a,a
lemon,skin,NA,NA
fly,ball,a,a
purple,baby,a,a
plastic,piece,a,a
elephant,parade,a,an
purple,collar,a,a
brown,shirt,a,a
outside,lane,a,an
elephant,ear,an,an
paper,plate,a,a
solar,shop,a,a
coat,hanger,a,a
comb,brooch,a,a
lighter,purple,NA,NA
metal,plate,a,a
country,mansion,a,a
dolly,house,a,a
elephant,fly,a,an
green,bird,a,a
red,squirrel,a,a
candy,cane,a,a
fat,man,a,a
sewing,machine,a,a
tobacco,tin,a,a
fuzzy,hair,NA,NA
green,man,a,a
green,ear,an,a
ground,floor,a,a
red,dress,a,a
stair,carpet,a,a
chicken,wing,a,a
dancing,shoe,a,a
yellow,helicopter,a,a
wet,ball,a,a
pink,oval,an,a
mommy,lion,a,a
green,guy,a,a
bank,note,a,a
mulberry,tree,a,a
orange,corner,a,an
dog,person,a,a
furry,tail,a,a
dead,one,a,a
red,crayon,a,a
bright,shirt,a,a
dark,eye,an,a
fish,puzzle,a,a
hot,shit,NA,NA
green,crayon,a,a
circus,train,a,a
loaf,pan,a,a
brown,hill,a,a
blond,boy,a,a
stone,letter,a,a
dirty,basement,a,a
burnt,cookie,a,a
star,sticker,a,a
bedroom,house,a,a
cloth,mum,a,a
pea,pod,a,a
cargo,car,a,a
clothes,furnishing,NA,NA
dish,washer,a,a
cut,apple,an,a
tape,measure,a,a
red,bin,a,a
yellow,skull,a,a
thick,piece,a,a
potato,pie,a,a
explorer,guy,a,an
red,coat,a,a
plastic,toy,a,a
quarry,tile,a,a
puppet,stage,a,a
thick,mud,NA,NA
table,cloth,a,a
baby,blanket,a,a
square,face,a,a
fruit,machine,a,a
smooch,dance,a,a
outside,house,a,an
hair,cap,a,a
purple,dog,a,a
tooth,fairy,a,a
wet,pants,NA,NA
flat,side,a,a
green,lawn,a,a
salty,egg,an,a
peach,material,a,a
thick,loaf,a,a
fat,lady,a,a
letter,puzzle,a,a
chocolate,chip,a,a
pink,tongue,a,a
red,nose,a,a
green,ball,a,a
hot,tub,a,a
gingerbread,recipe,a,a
drawing,table,a,a
red,marker,a,a
gas,pipe,a,a
giant,present,a,a
dark,forest,a,a
purple,block,a,a
orange,suit,a,an
yellow,guitar,a,a
shoe,room,a,a
grey,suite,a,a
chocolate,eclair,an,a
stamp,pad,a,a
bagel,dog,a,a
tree,frog,a,a
sugar,bowl,a,a
moist,soil,NA,NA
kitchen,floor,a,a
jelly,doughnut,a,a
hot,bath,a,a
pink,square,a,a
hot,fry,a,a
color,sand,NA,NA
rock,music,NA,NA
flower,stem,a,a
yellow,ring,a,a
north,king,a,a
baby,room,a,a
pirate,sword,a,a
pencil,sharpener,a,a
oval,face,a,an
door,grill,a,a
navy,shorts,NA,NA
children,adult,an,a
building,downtown,a,a
town,dump,a,a
yellow,barrel,a,a
stall,light,a,a
elephant,ride,a,an
pink,rake,a,a
sheet,side,a,a
breast,lump,a,a
red,house,a,a
bottom,piece,a,a
tooth,paste,a,a
carpet,shampoo,NA,NA
grease,mark,a,a
orange,frosting,NA,NA
camera,eye,an,a
hot,lava,NA,NA
butterfly,catcher,a,a
metal,bath,a,a
rubber,band,a,a
leaf,cake,a,a
green,bug,a,a
green,airship,an,a
green,ring,a,a
wooden,board,a,a
lacing,piece,a,a
rabbit,hole,a,a
broken,ride,a,a
purple,raindrop,a,a
hot,tray,a,a
letter,block,a,a
plastic,ball,a,a
fly,swatter,a,a
toy,lizard,a,a
daddy,crown,a,a
green,marble,a,a
wet,kiss,a,a
lunch,box,a,a
sweet,tooth,a,a
bottom,bunk,a,a
dinosaur,foot,a,a
elephant,trunk,a,an
pink,kitty,a,a
apple,butter,NA,NA
green,flower,a,a
bed,room,a,a
building,block,a,a
ball,tent,a,a
daddy,hand,a,a
street,lighting,NA,NA
yellow,stripe,a,a
pink,chair,a,a
grocery,cart,a,a
gingerbread,man,a,a
food,container,a,a
flower,pants,NA,NA
wheat,flour,NA,NA
brown,penny,a,a
purple,animal,an,a
flower,tree,a,a
lemon,juice,NA,NA
yellow,room,a,a
daddy,hippo,a,a
road,license,a,a
juice,drop,a,a
washing,line,a,a
purple,present,a,a
girl,mommy,a,a
hair,dryer,a,a
mommy,goat,a,a
sweet,tasting,a,a
red,controller,a,a
juicy,pear,a,a
brown,cow,a,a
garden,chair,a,a
broken,toenail,a,a
saucepan,spoon,a,a
animal,fat,NA,NA
page,moderator,a,a
icecream,maker,a,an
snow,seal,a,a
paper,model,a,a
king,man,a,a
monkey,bar,a,a
curly,string,a,a
bubble,wand,a,a
pink,color,a,a
purple,diamond,a,a
tightrope,walker,a,a
attic,room,a,an
red,flower,a,a
thick,hair,NA,NA
burnt,toast,NA,NA
red,heart,a,a
color,marker,a,a
screen,door,a,a
baby,piglet,a,a
popsicle,stick,a,a
pet,store,a,a
hotel,breakfast,a,a
light,saber,a,a
world,sea,a,a
violet,light,a,a
ice,hockey,NA,NA
brass,wire,a,a
purple,bag,a,a
purple,sock,a,a
country,air,NA,NA
meatball,dinner,a,a
back,door,a,a
mommy,shoe,a,a
round,pond,a,a
fax,machine,a,a
wax,paper,a,a
daddy,bug,a,a
sweat,pants,NA,NA
plastic,cupboard,a,a
drawing,board,a,a
red,cup,a,a
baby,toy,a,a
air,plane,a,an
dragon,boy,a,a
picnic,food,NA,NA
green,worktop,a,a
tom,cat,a,a
barn,door,a,a
dirty,clothes,NA,NA
sea,food,NA,NA
pile,driver,a,a
dirty,basket,a,a
plastic,train,a,a
square,net,a,a
fax,phone,a,a
music,instrument,an,a
timber,fencing,NA,NA
green,color,a,a
apple,snack,a,an
chocolate,raisin,a,a
goldfish,soup,NA,NA
flaming,shake,a,a
cherry,popsicle,a,a
top,corner,a,a
crocodile,dinner,a,a
sweet,violet,a,a
toilet,handle,a,a
karate,kick,a,a
red,panda,a,a
bunny,sleeping,NA,NA
baby,exercise,an,a
purple,trunk,a,a
brown,circle,a,a
petrol,station,a,a
sweet,hay,NA,NA
fish,pond,a,a
pop,guns,a,a
caravan,season,a,a
kids,dance,a,a
holly,wreath,a,a
thistle,spud,a,a
student,bar,a,a
hot,oven,an,a
clothes,line,a,a
pumpkin,bear,a,a
garden,toolbox,a,a
green,line,a,a
back,ride,a,a
cut,tree,a,a
chicken,nugget,a,a
dirty,dish,a,a
oval,ball,a,an
roof,ventilation,NA,NA
cod,oil,NA,NA
bat,file,a,a
wooden,door,a,a
flat,timber,NA,NA
plaid,coat,a,a
pop,star,a,a
lilac,jade,NA,NA
world,cup,a,a
smoke,machine,a,a
purple,dolphin,a,a
hot,pickle,a,a
pink,star,a,a
radio,repair,a,a
purple,pillow,a,a
basketball,hoop,a,a
swimming,teacher,a,a
round,field,a,a
taxi,driver,a,a
yellow,squash,a,a
blind,corner,a,a
pink,spider,a,a
red,worm,a,a
baby,game,a,a
chief,advisor,an,a
round,table,a,a
star,command,a,a
giant,worm,a,a
dirty,panty,a,a
chip,pan,a,a
skittle,gum,a,a
singing,dog,a,a
dirty,slide,a,a
honey,bunny,a,a
gift,shop,a,a
house,pig,a,a
coral,bed,a,a
puddle,boot,a,a
green,bowl,a,a
wash,basin,a,a
tar,pit,a,a
orange,cake,a,an
red,meat,NA,NA
bronze,sword,a,a
yellow,egg,an,a
circus,car,a,a
wet,rain,NA,NA
bedroom,bungalow,a,a
pirate,girl,a,a
wrist,watch,a,a
guy,scream,a,a
snow,clothes,NA,NA
bottom,edge,an,a
pirate,show,a,a
purple,card,a,a
toy,car,a,a
pink,phone,a,a
square,knot,a,a
worker,man,a,a
dragon,attack,an,a
apple,sauce,NA,NA
cataract,operation,an,a
plastic,bowl,a,a
panda,bear,a,a
green,dinosaur,a,a
dinner,bowl,a,a
leather,coat,a,a
entrance,hall,a,an
fruit,juice,NA,NA
ocean,floor,a,an
hot,muffin,a,a
dark,cloud,a,a
vitamin,drop,a,a
body,shop,a,a
pig,boil,a,a
garage,door,a,a
paddle,game,a,a
hot,spice,a,a
heart,plate,a,a
brake,light,a,a
purple,spider,a,a
giant,meteor,a,a
yellow,puppy,a,a
library,picture,a,a
sister,elephant,an,a
motor,caravan,a,a
dark,ceiling,a,a
red,basket,a,a
purple,hat,a,a
lip,stick,a,a
green,card,a,a
bus,ride,a,a
bug,bite,a,a
dog,dish,a,a
hot,body,a,a
baby,sweater,a,a
triceratops,sand,NA,NA
fare,crossing,a,a
coral,snake,a,a
fat,piece,a,a
green,cat,a,a
stone,wall,a,a
furry,caterpillar,a,a
phone,bill,a,a
red,light,a,a
money,tree,a,a
red,balloon,a,a
sunny,day,a,a
wall,tiling,NA,NA
wet,hair,NA,NA
cock,eye,an,a
foot,lounge,a,a
wedding,dress,a,a
nap,video,a,a
red,knight,a,a
book,paperback,a,a
bedroom,window,a,a
hillbilly,baby,a,a
quarter,past,a,a
red,tie,a,a
skunk,burger,a,a
blueberry,pie,a,a
chalk,board,a,a
baby,lion,a,a
yellow,snow,NA,NA
carp,family,a,a
herb,garden,a,an
alcove,bedroom,a,an
swimming,suit,a,a
fruit,tree,a,a
note,card,a,a
yellow,screw,a,a
hash,brown,NA,NA
sugar,plum,a,a
potato,skin,NA,NA
chamber,pot,a,a
orange,beak,a,an
fairy,lady,a,a
rice,milk,NA,NA
grape,juice,NA,NA
round,edge,an,a
water,fountain,a,a
office,chair,a,an
foot,pool,a,a
yellow,tube,a,a
yellow,knight,a,a
day,pastor,a,a
whale,squirt,a,a
pink,paint,NA,NA
cookie,sandwich,a,a
giant,truck,a,a
flower,bed,a,a
yellow,wheel,a,a
dark,side,a,a
gold,balloon,a,a
lemon,soda,NA,NA
purple,stage,a,a
cream,cake,a,a
puppy,food,NA,NA
baby,heart,a,a
smiley,ball,a,a
gold,guy,a,a
varnish,stripper,a,a
purple,square,a,a
red,phone,a,a
brown,pumpkin,a,a
flower,petal,a,a
instrument,panel,a,an
giant,saucer,a,a
face,painting,a,a
curve,piece,a,a
raisin,bun,a,a
milk,bar,a,a
pink,diamond,a,a
back,window,a,a
apple,green,NA,NA
outside,edge,an,an
string,puppet,a,a
green,tower,a,a
rolling,ball,a,a
rain,storm,a,a
green,popsicle,a,a
hot,pants,NA,NA
light,lunch,a,a
light,ball,a,a
hammer,fork,a,a
farm,game,a,a
caterpillar,walking,NA,NA
wet,day,a,a
red,roof,a,a
pink,collar,a,a
top,coat,a,a
bear,walking,NA,NA
flower,box,a,a
kid,cartoon,a,a
yellow,paper,a,a
skating,girl,a,a
dead,brother,a,a
lady,song,a,a
pink,ear,an,a
cookie,dough,NA,NA
light,green,NA,NA
edge,piece,a,an
computer,scientist,a,a
orange,star,a,an
farmer,lady,a,a
troll,bridge,a,a
fire,truck,a,a
slate,mine,a,a
brown,barn,a,a
gold,game,a,a
police,car,a,a
tan,lotion,NA,NA
rectangle,diamond,a,a
baby,basket,a,a
broken,piece,a,a
thick,person,a,a
fish,book,a,a
purple,lollipop,a,a
hot,pot,a,a
hall,servant,a,a
crispy,piece,a,a
dictionary,writer,a,a
thick,sandwich,a,a
square,block,a,a
puppy,dog,a,a
farmer,truck,a,a
yellow,baby,a,a
hot,plastic,NA,NA
hot,mommy,a,a
mud,puddle,a,a
arcade,music,NA,NA
green,field,a,a
cocktail,side,a,a
telephone,box,a,a
quarter,inch,an,a
coffee,cake,a,a
picnic,meal,a,a
ice,tea,NA,NA
baby,spoon,a,a
yellow,page,a,a
crystal,cave,a,a
light,wood,NA,NA
green,finger,a,a
block,building,a,a
baby,doll,a,a
elephant,trumpeting,NA,NA
yellow,rain,NA,NA
yard,clipping,a,a
back,garden,a,a
green,path,a,a
red,cutter,a,a
snow,ninja,a,a
nose,guy,a,a
airplane,ride,a,an
fish,jump,a,a
green,overalls,NA,NA
stump,grinder,a,a
singing,mama,a,a
pink,clothes,NA,NA
dirty,hand,a,a
drum,stick,a,a
bear,cave,a,a
green,pants,NA,NA
hot,bun,a,a
pink,satin,NA,NA
daddy,ear,an,a
varnish,paint,NA,NA
silver,car,a,a
giant,puzzle,a,a
red,pot,a,a
guy,wizard,a,a
red,door,a,a
picture,frame,a,a
infant,teacher,a,an
lizard,mom,a,a
lion,dung,NA,NA
orange,nose,a,an
puzzle,pile,a,a
hot,fire,NA,NA
iron,sword,a,an
gold,map,a,a
grandfather,clock,a,a
whisky,drop,a,a
paint,brush,a,a
solid,rain,NA,NA
human,body,a,a
dead,plant,a,a
tea,cup,a,a
dirty,blanket,a,a
chip,machine,a,a
leopard,seal,a,a
baby,leaf,a,a
yellow,circle,a,a
food,chain,a,a
fire,exit,an,a
mutant,peacock,a,a
red,drum,a,a
yellow,parrot,a,a
dirty,plate,a,a
round,track,a,a
slippery,sock,a,a
baby,dog,a,a
paw,print,a,a
red,towel,a,a
guy,robot,a,a
red,stripe,a,a
dirty,pants,NA,NA
red,track,a,a
meteor,crater,a,a
carpet,shop,a,a
green,candy,NA,NA
thorn,bush,a,a
hand,bag,a,a
yellow,line,a,a
green,frosting,NA,NA
square,pan,a,a
pointy,tree,a,a
purple,necklace,a,a
