adjective,noun,article,adj_article
cotton,candy,NA,NA
top,hat,a,a
potato,plant,a,a
color,popsicle,a,a
red,hole,a,a
wall,clock,a,a
tea,pot,a,a
frog,toy,a,a
blooming,herb,a,a
bottom,shelf,a,a
cup,cake,a,a
pink,brush,a,a
purple,boot,a,a
fruit,snack,a,a
brown,coffee,NA,NA
yellow,sleeve,a,a
umbrella,handle,a,an
purple,tower,a,a
hot,cocoa,NA,NA
animal,cracker,a,an
broken,bridge,a,a
kid,scissors,NA,NA
dog,book,a,a
furnishings,gift,a,a
man,face,a,a
light,horse,a,a
phone,ring,a,a
red,top,a,a
kids,block,a,a
giant,mess,a,a
rolling,robot,a,a
elephant,eye,an,an
lounge,window,a,a
green,strawberry,a,a
oven,door,a,an
dirty,girl,a,a
camera,man,a,a
maple,syrup,NA,NA
pink,dinosaur,a,a
traffic,jam,NA,NA
mail,card,a,a
rope,ladder,a,a
broken,cracker,a,a
wooden,button,a,a
flat,edge,an,a
kid,toy,a,a
milk,man,a,a
dancing,troop,a,a
sinus,infection,an,a
back,yard,a,a
arm,pit,a,an
guy,talking,NA,NA
day,game,a,a
photo,album,an,a
outside,guy,a,an
spaghetti,meatball,a,a
kitchen,sink,a,a
corner,piece,a,a
purple,octagon,an,a
diving,board,a,a
garden,worm,a,a
bright,star,a,a
patio,door,a,a
brown,eye,an,a
banana,bread,NA,NA
enamel,shell,a,an
furry,tummy,a,a
solar,eclipse,an,a
purple,flower,a,a
drop,curtain,a,a
bull,frog,a,a
purple,purse,a,a
video,camera,a,a
orange,animal,an,an
rag,doll,a,a
yellow,sun,NA,NA
clothes,hamper,a,a
cookie,cutter,a,a
green,bow,a,a
plastic,card,a,a
giant,shoe,a,a
pink,pipe,a,a
orange,skittle,a,an
head,louse,a,a
purple,candy,NA,NA
orange,square,a,an
cooker,gas,NA,NA
locked,closet,a,a
red,ant,an,a
box,office,an,a
orange,frog,a,an
mop,head,a,a
puppy,doggy,a,a
tool,repair,a,a
color,page,a,a
hip,bone,a,a
red,ladybug,a,a
red,wheel,a,a
purple,bat,a,a
cake,shop,a,a
picture,hook,a,a
crusty,roll,a,a
bright,tail,a,a
daddy,gorilla,a,a
ladies,toilet,a,a
gravel,pile,a,a
dog,stand,a,a
clock,piece,a,a
yellow,shirt,a,a
velvety,horse,a,a
purple,cabbage,a,a
dirty,mouth,a,a
top,trainer,a,a
birth,present,a,a
dark,sky,a,a
coffee,milk,NA,NA
baby,bounce,a,a
scar,scar,a,a
battery,drawer,a,a
circus,truck,a,a
room,table,a,a
boa,constrictor,a,a
car,transporter,a,a
bleeding,finger,a,a
human,head,a,a
ball,bounce,a,a
yellow,light,a,a
tree,trunk,a,a
ball,bearing,NA,NA
sweat,gland,a,a
call,line,a,a
bin,liner,a,a
red,brush,a,a
digger,truck,a,a
shovel,honey,NA,NA
cheese,pie,a,a
night,spider,a,a
store,lady,a,a
teddy,bear,a,a
medication,honey,NA,NA
school,book,a,a
goldfish,day,a,a
toy,boy,a,a
pink,girl,a,a
people,town,a,a
worm,soup,NA,NA
pink,worm,a,a
egg,shell,a,an
baby,song,a,a
furry,face,a,a
brown,mountain,a,a
red,coloring,NA,NA
patio,barbecue,a,a
blonde,hair,NA,NA
top,lid,a,a
wooden,reel,a,a
iron,leg,a,an
baby,crayon,a,a
train,line,a,a
birth,day,a,a
doctor,kit,a,a
door,key,a,a
bus,fare,a,a
solid,piece,a,a
fish,soup,NA,NA
princess,bed,a,a
top,edge,an,a
turkey,sandwich,a,a
timer,switch,a,a
red,mouse,a,a
green,garbage,NA,NA
wet,bird,a,a
yellow,pepper,a,a
dalmatian,dog,a,a
red,fence,a,a
daddy,pirate,a,a
brown,clump,a,a
red,airplane,an,a
military,police,NA,NA
red,orange,an,a
bear,hunt,a,a
red,triangle,a,a
gas,station,a,a
pink,flamingo,a,a
yellow,tree,a,a
satellite,dish,a,a
cigar,smoking,NA,NA
dance,music,NA,NA
candy,bar,a,a
egg,box,a,an
sand,box,a,a
pet,cage,a,a
yellow,coral,NA,NA
dark,hair,NA,NA
vegetable,oil,NA,NA
green,picture,a,a
green,baby,a,a
pant,leg,a,a
hedge,cutter,a,a
beef,hash,a,a
plastic,box,a,a
green,nose,a,a
brown,sauce,NA,NA
yellow,coloring,NA,NA
hot,lunch,a,a
fish,stall,a,a
wire,sandwich,a,a
bright,color,a,a
bathroom,window,a,a
hot,ride,a,a
tub,seat,a,a
draw,picture,a,a
water,pipe,a,a
safari,hat,a,a
hot,seat,a,a
top,step,a,a
spider,ring,a,a
bottom,corner,a,a
cotton,ball,a,a
record,button,a,a
doll,baby,a,a
cat,product,a,a
rusty,bucket,a,a
gun,runner,a,a
washing,machine,a,a
naked,butt,a,a
cabbage,leaf,a,a
dirty,sock,a,a
karate,chop,a,a
yard,tent,a,a
goat,boy,a,a
father,duck,a,a
pink,rattle,a,a
witch,hair,NA,NA
crane,station,a,a
toy,store,a,a
dark,ball,a,a
pink,corner,a,a
truck,piece,a,a
red,jumper,a,a
pink,dot,a,a
money,card,a,a
teapot,water,NA,NA
chocolate,cake,a,a
person,game,a,a
sea,urchin,an,a
red,broccoli,NA,NA
bus,ticket,a,a
rock,pool,a,a
red,dragon,a,a
movie,camera,a,a
flat,mouth,a,a
salmon,leaping,a,a
outside,person,a,an
tin,tray,a,a
hand,glove,a,a
scout,group,a,a
guy,beard,a,a
silver,beard,a,a
smoke,stack,a,a
rain,glasses,NA,NA
zucchini,plant,a,a
purple,bud,a,a
cash,till,a,a
pink,dragon,a,a
girl,case,a,a
orange,cutter,a,an
kitchen,door,a,a
pear,skin,NA,NA
dirty,hamper,a,a
orange,sunset,a,an
hot,wood,NA,NA
dirty,penny,a,a
dirty,cup,a,a
apple,oatmeal,NA,NA
olive,green,NA,NA
pear,juice,NA,NA
water,spout,a,a
bacon,crisp,a,a
knife,edge,an,a
green,crunch,a,a
doggy,bone,a,a
yellow,eye,an,a
yellow,apple,an,a
farm,channel,a,a
boy,seat,a,a
machine,chap,a,a
eye,ball,a,an
thick,branch,a,a
sunny,path,a,a
back,step,a,a
brown,tail,a,a
gravel,border,a,a
pink,tights,NA,NA
store,room,a,a
frog,outfit,an,a
yellow,hay,NA,NA
red,strawberry,a,a
dead,turtle,a,a
inch,square,a,an
shell,suit,a,a
honey,doll,a,a
ceiling,rose,a,a
baby,meat,NA,NA
flat,surface,a,a
fat,head,a,a
circus,officer,an,a
sweet,baby,a,a
purple,grape,a,a
pencil,eraser,an,a
tie,back,a,a
massage,table,a,a
orange,leaf,a,an
sand,sheep,a,a
red,side,a,a
red,caboose,a,a
pink,window,a,a
sweet,pea,a,a
orange,angelfish,an,an
cork,tile,a,a
bleeding,head,a,a
brown,fur,NA,NA
mommy,elephant,an,a
daddy,glasses,NA,NA
round,tree,a,a
red,bear,a,a
laundry,basket,a,a
egg,white,NA,NA
peacock,body,a,a
green,plant,a,a
dead,worm,a,a
dog,food,NA,NA
wine,sherry,NA,NA
swimming,guy,a,a
sign,gate,a,a
animal,magazine,a,an
furry,fuzzy,a,a
dinosaur,hunt,a,a
food,shopping,NA,NA
draw,bridge,a,a
bath,door,a,a
triangle,piece,a,a
baby,brother,a,a
purple,boxcar,a,a
broken,arm,an,a
sickle,cell,a,a
snow,boot,a,a
orange,heart,a,an
hot,chicken,a,a
ash,tray,a,an
radio,cassette,a,a
gold,reindeer,a,a
unbuttoned,jacket,a,an
cigar,box,a,a
frozen,water,NA,NA
red,fruit,a,a
yellow,drum,a,a
lighter,hair,NA,NA
mashed,potato,a,a
oat,porridge,NA,NA
festival,company,a,a
flat,piece,a,a
college,downtown,a,a
pony,tail,a,a
giant,thorn,a,a
sunny,spot,a,a
orange,pants,NA,NA
vanilla,chocolate,NA,NA
cheese,pizza,NA,NA
circus,animal,an,a
plastic,circle,a,a
chicken,dance,a,a
chicken,finger,a,a
green,piece,a,a
green,salad,a,a
brown,grey,NA,NA
tea,bag,a,a
top,floor,a,a
dinosaur,movie,a,a
pink,lollypop,a,a
fish,food,NA,NA
night,shirt,a,a
puppy,mom,a,a
purple,sand,NA,NA
yellow,train,a,a
pepperoni,pizza,NA,NA
yellow,leaf,a,a
mommy,deer,a,a
ear,plug,a,an
bird,box,a,a
back,bedroom,a,a
food,pea,a,a
adult,alligator,an,an
broken,foot,a,a
soccer,player,a,a
garbage,feast,a,a
red,cake,a,a
wet,soaking,a,a
bear,boob,a,a
dam,bush,a,a
dead,guy,a,a
face,pumpkin,a,a
primrose,oil,NA,NA
top,bunk,a,a
red,popsicle,a,a
daddy,tape,a,a
land,horse,a,a
dog,collar,a,a
turtle,tank,a,a
yellow,key,a,a
night,light,a,a
book,honey,NA,NA
top,gear,a,a
pink,bird,a,a
alloy,wheel,a,an
brown,leaf,a,a
test,barometer,a,a
baby,book,a,a
plum,pudding,NA,NA
press,record,a,a
green,apple,an,a
workshop,downtown,a,a
boy,voice,a,a
dirty,fox,a,a
property,market,a,a
washing,powder,NA,NA
block,cheese,NA,NA
pink,tube,a,a
train,fare,a,a
dead,obituary,an,a
snow,man,a,a
farmer,overalls,NA,NA
roast,beef,NA,NA
ironing,board,a,an
broken,string,a,a
wine,glasses,NA,NA
birth,date,a,a
bottom,one,a,a
spider,monkey,a,a
farm,puppet,a,a
wash,room,a,a
red,ball,a,a
dust,wagon,a,a
gold,fish,a,a
burnt,finger,a,a
horse,box,a,a
mummy,shout,a,a
velcro,latch,a,a
curb,stone,a,a
batter,box,a,a
trash,call,a,a
brown,patch,a,a
dust,ball,a,a
toy,bus,a,a
ginger,man,a,a
wood,sculpture,a,a
red,bug,a,a
baby,chair,a,a
brick,fireplace,a,a
candy,piece,a,a
turkey,leg,a,a
red,bucket,a,a
pencil,box,a,a
fat,fryer,a,a
band,man,a,a
spray,bottle,a,a
unbuttoned,pants,NA,NA
dirty,mama,a,a
hot,curry,a,a
red,piranha,a,a
bear,family,a,a
daddy,face,a,a
yogurt,pudding,NA,NA
diaper,check,a,a
mud,truck,a,a
fish,shop,a,a
mountain,bike,a,a
exit,sign,a,an
purple,food,NA,NA
baby,cub,a,a
food,restaurant,a,a
bath,tub,a,a
baseball,game,a,a
treasure,chest,a,a
red,bird,a,a
sweet,gift,a,a
yellow,piece,a,a
dirty,piggy,a,a
hot,soup,NA,NA
yellow,flower,a,a
plastic,heron,a,a
dark,bikini,a,a
garbage,collector,a,a
hot,flaming,NA,NA
light,hair,NA,NA
back,corner,a,a
green,stripe,a,a
slippery,ice,NA,NA
fat,boy,a,a
taller,bed,a,a
color,paper,a,a
bubble,container,a,a
tan,wig,a,a
red,gecko,a,a
red,puppy,a,a
brown,ant,an,a
sweet,onion,an,a
baby,worm,a,a
water,swim,a,a
fat,worm,a,a
intercom,beep,a,an
alarm,clock,a,an
color,paint,NA,NA
cotton,shirt,a,a
hot,tot,a,a
cauliflower,pea,a,a
hot,wash,a,a
ostrich,egg,an,an
silver,green,NA,NA
board,tile,a,a
pink,violet,a,a
dirty,nose,a,a
ant,path,a,an
pumpkin,head,a,a
quarter,teaspoon,a,a
bright,paper,a,a
heart,beat,a,a
red,road,a,a
hot,onion,an,a
orange,bead,a,an
shaking,ball,a,a
orange,dinosaur,a,an
daddy,bird,a,a
green,marker,a,a
daddy,rooster,a,a
kitchen,table,a,a
mackerel,fishing,NA,NA
green,pig,a,a
top,tap,a,a
pumpkin,farm,a,a
orange,tummy,a,an
red,button,a,a
yellow,bowl,a,a
bottom,oven,an,a
blowing,wind,NA,NA
tiger,picture,a,a
street,sweeper,a,a
entrance,door,a,an
water,table,a,a
rocket,shot,a,a
beef,sandwich,a,a
detective,show,a,a
pumpkin,pie,a,a
green,moose,a,a
orange,cat,a,an
yellow,tongue,a,a
purple,top,a,a
salmon,salad,a,a
purple,captain,a,a
bright,pink,NA,NA
clown,hair,NA,NA
report,card,a,a
rainy,day,a,a
airline,pilot,a,an
school,boy,a,a
dragon,game,a,a
football,match,a,a
green,wreath,a,a
molasses,swamp,a,a
pink,rose,a,a
home,daddy,a,a
cutting,edge,an,a
purple,eye,an,a
green,kitty,a,a
rail,ticket,a,a
hay,cart,a,a
wooden,platter,a,a
round,spot,a,a
garden,furniture,NA,NA
bar,bell,a,a
worm,belly,a,a
pastel,pink,NA,NA
prawn,sandwich,a,a
cabbage,plant,a,a
clock,tower,a,a
sleeping,policeman,a,a
thick,player,a,a
dog,beach,a,a
fish,cracker,a,a
outside,tap,a,an
bubble,gum,a,a
letter,tile,a,a
purple,spaghetti,NA,NA
farmer,guy,a,a
cut,grass,NA,NA
croquet,stroke,a,a
hay,cookie,a,a
green,ornament,an,a
water,tower,a,a
plant,pot,a,a
fat,roll,a,a
brown,coconut,a,a
purple,shoe,a,a
giant,boy,a,a
green,pepper,a,a
purple,tail,a,a
ogre,lady,a,an
bow,colors,a,a
cross,bun,a,a
red,punch,a,a
pink,heart,a,a
cat,scratching,NA,NA
peppermint,candy,NA,NA
dirty,baby,a,a
brown,mud,NA,NA
food,board,a,a
slot,machine,a,a
yellow,door,a,a
dirty,diaper,a,a
roast,potato,a,a
red,handle,a,a
water,drip,a,a
puppet,show,a,a
yellow,bucket,a,a
yellow,banana,a,a
pink,tutu,a,a
solar,battery,a,a
ice,cream,NA,NA
sugar,dough,NA,NA
barbecue,recipe,a,a
orange,flag,a,an
bunny,sleep,NA,NA
box,toy,a,a
dirt,road,a,a
orange,dot,a,an
tape,player,a,a
broken,egg,an,a
daddy,foot,a,a
mommy,chin,a,a
green,coat,a,a
night,moon,a,a
brown,suite,a,a
giant,committee,a,a
sweet,honey,NA,NA
school,room,a,a
giant,skyscraper,a,a
trash,book,a,a
top,row,a,a
pink,coat,a,a
mud,pile,a,a
mommy,worm,a,a
farm,cat,a,a
crayon,pile,a,a
green,melon,a,a
aloe,plant,a,an
icy,coast,a,an
refrigerator,door,a,a
baby,pig,a,a
fire,grate,a,a
yellow,flag,a,a
baby,wipe,a,a
engine,train,a,an
fuzzy,peach,a,a
dirty,straw,a,a
bleach,water,NA,NA
fishing,pole,a,a
snow,shovel,a,a
oven,top,a,an
yellow,reindeer,a,a
red,man,a,a
girl,doctor,a,a
fat,doctor,a,a
brain,rot,NA,NA
red,hand,a,a
fat,face,a,a
knee,joint,a,a
food,processor,a,a
committee,report,a,a
dirty,one,a,a
green,hoop,a,a
wet,washing,NA,NA
top,oven,an,a
strawberry,juice,NA,NA
cheddar,cracker,a,a
slipper,sock,a,a
capital,letter,a,a
ground,almond,an,a
vanilla,pudding,NA,NA
shower,tray,a,a
tracksuit,bottom,a,a
dirty,park,a,a
green,door,a,a
sweet,boy,a,a
red,reindeer,a,a
red,train,a,a
broken,leg,a,a
brown,gravy,NA,NA
smoke,salmon,NA,NA
cigarette,carton,a,a
brass,drum,a,a
baby,booty,a,a
dirty,shirt,a,a
purple,triangle,a,a
bright,moonlight,NA,NA
icecream,scoop,a,an
sliced,cheese,NA,NA
sweet,cocoa,NA,NA
van,window,a,a
bunny,clothes,NA,NA
orange,tail,a,an
bead,string,a,a
mirror,piece,a,a
yellow,guy,a,a
food,bowl,a,a
red,foot,a,a
bird,nest,a,a
color,clothes,NA,NA
elephant,puzzle,a,an
window,frame,a,a
pink,snail,a,a
blind,mom,a,a
teddy,workshop,a,a
rabbit,stew,a,a
purple,horn,a,a
puzzle,book,a,a
farm,animal,an,a
tiger,baby,a,a
wet,whisker,a,a
tube,company,a,a
steel,worker,a,a
yellow,brush,a,a
orange,leg,a,an
green,spider,a,a
jump,rope,a,a
bright,beak,a,a
brown,path,a,a
naked,person,a,a
furry,bear,a,a
green,cactus,a,a
soldier,crab,a,a
purple,turtle,a,a
plastic,metal,NA,NA
juicy,meat,a,a
yellow,rake,a,a
pink,pig,a,a
mama,elephant,an,a
baby,sock,a,a
green,shell,a,a
room,clock,a,a
fish,skeleton,a,a
mutton,head,a,a
strawberry,color,a,a
chicken,coop,a,a
curtain,ring,a,a
manor,ground,NA,NA
hill,riding,NA,NA
paddle,wheel,a,a
country,mouse,a,a
purple,saber,a,a
red,kite,a,a
baby,monkey,a,a
rubber,book,a,a
sun,block,a,a
mantel,fire,NA,NA
porcelain,doll,a,a
cut,dude,a,a
quarter,moon,a,a
pink,pickle,a,a
silver,packet,a,a
bear,cub,a,a
broken,tv,a,a
poison,apple,an,a
stroller,baby,a,a
solid,path,a,a
top,penthouse,a,a
red,planet,a,a
cookie,day,a,a
noodle,soup,NA,NA
television,actress,an,a
solid,line,a,a
baby,raccoon,a,a
frame,chip,a,a
bright,punch,a,a
yellow,saddle,a,a
mommy,doggie,a,a
cinnamon,roll,a,a
foot,ball,a,a
puzzle,maker,a,a
purple,teddy,a,a
room,slipper,a,a
wood,cylinder,a,a
pink,scooter,a,a
manual,gear,a,a
concrete,floor,a,a
yellow,mouth,a,a
plant,debris,NA,NA
shield,brooch,a,a
outside,soccer,NA,NA
upstairs,sleeping,NA,NA
ladybug,toy,a,a
tonic,glass,a,a
fish,pie,a,a
purple,bug,a,a
red,jacket,a,a
flower,piece,a,a
tissue,paper,a,a
city,mouse,a,a
dark,shadow,a,a
green,toy,a,a
wet,bucket,a,a
sister,game,a,a
bottom,hair,NA,NA
frog,book,a,a
juicy,worm,a,a
diving,dummy,a,a
purple,flag,a,a
snow,tiger,a,a
dark,tunnel,a,a
umbrella,tree,a,an
fuzzy,bone,a,a
glass,slipper,a,a
dinosaur,hunter,a,a
shop,book,a,a
sister,church,a,a
color,block,a,a
baby,person,a,a
dark,chap,a,a
green,bone,a,a
ocean,world,a,an
wet,man,a,a
purple,guy,a,a
broken,pen,a,a
solid,hedge,a,a
green,bag,a,a
fish,hook,a,a
yellow,glasses,NA,NA
sea,horse,a,a
wooden,table,a,a
yellow,sheet,a,a
jet,engine,an,a
night,star,a,a
color,grey,NA,NA
country,lane,a,a
orange,rock,a,an
bank,account,an,a
train,table,a,a
dead,dad,a,a
group,secretary,a,a
basket,game,a,a
yellow,girl,a,a
mucus,sack,a,a
dirty,tank,a,a
brown,bag,a,a
marble,hearth,a,a
box,cooler,a,a
movie,puppet,a,a
cigarette,smoke,NA,NA
dinosaur,leg,a,a
green,glove,a,a
baby,nose,a,a
dead,battery,a,a
car,mat,a,a
dead,ant,an,a
lemon,chicken,a,a
giant,bomb,a,a
round,cracker,a,a
brown,person,a,a
library,ticket,a,a
lobster,pot,a,a
brown,writing,NA,NA
round,scissors,NA,NA
red,tape,a,a
bunny,ear,an,a
baby,rabbit,a,a
school,report,a,a
red,puck,a,a
green,uniform,a,a
top,line,a,a
wax,coat,a,a
rocky,truck,a,a
yellow,hand,a,a
giant,caterpillar,a,a
brown,belt,a,a
baby,giraffe,a,a
animal,puzzle,a,an
plant,food,NA,NA
gym,teacher,a,a
pink,boot,a,a
bike,riding,NA,NA
bath,toy,a,a
money,broker,a,a
round,mark,a,a
knuckle,head,a,a
crusty,loaf,a,a
video,store,a,a
toilet,seat,a,a
sweet,girl,a,a
toe,soup,NA,NA
icy,drink,a,an
tooth,brush,a,a
diamond,piece,a,a
dirty,key,a,a
purple,cocoon,a,a
princess,sticker,a,a
purple,coat,a,a
gum,tree,a,a
top,prize,a,a
lunch,break,a,a
giant,cloud,a,a
planet,earth,NA,NA
fire,hose,a,a
fat,chap,a,a
mother,pig,a,a
red,pants,NA,NA
purple,button,a,a
baby,gorilla,a,a
sleeping,dolphin,a,a
solid,bronze,NA,NA
scrap,paper,a,a
girl,bike,a,a
bean,plant,a,a
purple,wing,a,a
sweet,heart,a,a
farmer,market,a,a
dirty,truck,a,a
brown,marker,a,a
painting,shirt,a,a
flat,table,a,a
boiling,pot,a,a
colored,dot,a,a
yellow,rubber,NA,NA
red,boat,a,a
standing,penguin,a,a
cat,hair,NA,NA
roof,rack,a,a
bean,sprout,a,a
whale,song,a,a
red,turtle,a,a
red,penguin,a,a
parmesan,cheese,NA,NA
hill,top,a,a
cottage,cheese,NA,NA
dark,rock,a,a
round,corner,a,a
cake,baby,a,a
yellow,outfit,an,a
shave,rash,a,a
scrap,heap,a,a
air,push,a,an
girl,hair,NA,NA
shoe,polish,NA,NA
red,whale,a,a
sweet,pie,a,a
bald,boy,a,a
stone,coating,a,a
truck,mom,a,a
orange,kitten,a,an
giant,head,a,a
daddy,horse,a,a
roller,coaster,a,a
frozen,room,a,a
gold,dust,NA,NA
pink,carpet,a,a
juicy,pineapple,a,a
red,book,a,a
wooden,piece,a,a
water,bucket,a,a
night,bird,a,a
tap,dance,a,a
bread,crust,a,a
floor,archway,an,a
shark,game,a,a
hot,radiator,a,a
boy,baby,a,a
paper,towel,a,a
stage,spot,a,a
bible,book,a,a
purple,handle,a,a
star,red,NA,NA
green,snake,a,a
purple,train,a,a
beetle,game,a,a
garden,tree,a,a
thick,soup,NA,NA
river,shack,a,a
red,machine,a,a
stomach,bug,a,a
strawberry,cookie,a,a
pink,fur,NA,NA
color,purple,NA,NA
meal,guy,a,a
orange,truck,a,an
tin,can,a,a
daddy,lion,a,a
sweet,guy,a,a
rocket,ship,a,a
copper,dagger,a,a
brick,wall,a,a
camp,fire,a,a
purple,water,NA,NA
air,conditioner,NA,NA
throw,ball,a,a
ham,ball,a,a
red,railing,a,a
solid,color,a,a
bulletin,board,a,a
yellow,metal,NA,NA
wood,basket,a,a
grey,clay,NA,NA
dirty,mitt,a,a
glass,door,a,a
green,cup,a,a
mommy,movie,a,a
orange,ear,an,an
orange,piece,a,an
human,race,a,a
baseball,bat,a,a
hot,grease,NA,NA
grill,cheese,NA,NA
golf,ball,a,a
water,plant,a,a
yellow,hose,a,a
string,bean,a,a
cow,manure,NA,NA
swim,trunk,a,a
bleeding,phone,a,a
gum,flavor,a,a
giant,yogurt,NA,NA
heart,sweet,a,a
roll,shot,a,a
blueberry,juice,NA,NA
green,grass,NA,NA
slope,testing,a,a
wrestling,guy,a,a
squirt,gun,a,a
smoke,alarm,an,a
phone,box,a,a
stock,room,a,a
bamboo,shoot,a,a
red,hat,a,a
hippopotamus,face,a,a
yellow,moon,a,a
hand,print,a,a
snow,flake,a,a
hot,cookie,a,a
pterodactyl,leg,a,a
derby,girl,a,a
baby,beluga,a,a
fence,post,a,a
pink,bag,a,a
purple,shirt,a,a
calendar,book,a,a
juicy,fruit,a,a
gold,key,a,a
purple,girl,a,a
till,receipt,a,a
back,fence,a,a
green,frog,a,a
kid,person,a,a
sweet,mama,a,a
rain,day,a,a
baby,platypus,a,a
green,mat,a,a
spa,camera,a,a
piggy,ride,a,a
poker,game,a,a
box,tape,a,a
ballet,skirt,a,a
plastic,bag,a,a
green,water,NA,NA
orange,fish,a,an
onion,stuffing,NA,NA
bow,honey,NA,NA
water,ride,a,a
stuffed,crocodile,a,a
purple,pony,a,a
orange,lip,a,an
bear,eye,an,a
yellow,duck,a,a
pumpkin,bread,NA,NA
locked,gate,a,a
green,plate,a,a
pink,balloon,a,a
flaming,desk,a,a
sheet,pan,a,a
yellow,milk,NA,NA
boat,person,a,a
candy,apple,an,a
purple,juice,NA,NA
wire,hair,NA,NA
chest,paddling,a,a
day,person,a,a
red,dinosaur,a,a
brown,oatmeal,NA,NA
dark,picture,a,a
glue,stick,a,a
boy,doctor,a,a
dark,rabbit,a,a
dragon,bear,a,a
bear,track,a,a
hot,desert,a,a
brown,ribbon,a,a
dirty,suit,a,a
door,frame,a,a
pink,fan,a,a
parent,girl,a,a
hen,egg,an,a
bear,head,a,a
pumpkin,muffin,a,a
plastic,sack,a,a
soapy,water,NA,NA
pink,makeup,NA,NA
turtle,purple,NA,NA
plastic,grid,a,a
pearl,ribbon,a,a
wooden,side,a,a
apple,cinnamon,NA,NA
piggy,toe,a,a
swamp,land,NA,NA
bathroom,suite,a,a
dirty,tractor,a,a
thick,tights,NA,NA
red,sun,NA,NA
red,crab,a,a
dirty,mess,a,a
baby,chick,a,a
fridge,door,a,a
doggy,food,NA,NA
brown,beard,a,a
purple,bear,a,a
giant,creature,a,a
yellow,octagon,an,a
dark,mulch,NA,NA
green,light,a,a
church,warden,a,a
varnish,stain,a,a
square,pretzel,a,a
red,ruby,a,a
solid,food,NA,NA
hot,pipe,a,a
green,balloon,a,a
muffin,pan,a,a
orange,green,NA,NA
milk,pint,a,a
bathroom,ceiling,a,a
ear,drum,a,an
thick,cheese,NA,NA
mud,pool,a,a
orange,peel,a,an
red,bell,a,a
red,eye,an,a
purple,robe,a,a
snare,drum,a,a
riding,horse,a,a
bunny,costume,a,a
baby,voice,a,a
steam,engine,an,a
purple,corner,a,a
saucepan,lid,a,a
pink,slipper,a,a
brown,wing,a,a
fence,door,a,a
red,bridge,a,a
orange,carrot,a,an
car,engine,an,a
wet,wipe,a,a
fish,meal,a,a
yellow,marble,a,a
blood,vessel,a,a
marble,painting,a,a
yellow,mustache,a,a
linen,closet,a,a
sticker,book,a,a
red,clock,a,a
candy,man,a,a
window,sill,a,a
mulberry,bush,a,a
blueberry,tea,NA,NA
green,square,a,a
scavenger,hunt,a,a
green,tube,a,a
gulf,stream,a,a
green,tummy,a,a
blood,check,a,a
dirty,town,a,a
baby,bubble,a,a
outside,basket,a,an
bed,explorer,an,a
telephone,point,a,a
wood,worm,a,a
finger,nail,a,a
gas,cooking,NA,NA
