adjective,noun,article,adj_article
hot,blanket,a,a
house,spider,a,a
swimming,pool,a,a
mama,hat,a,a
taller,ceiling,a,a
police,guard,a,a
giant,sundial,a,a
putty,hand,a,a
mud,trail,a,a
circus,baby,a,a
furry,guy,a,a
oatmeal,bowl,a,an
green,heart,a,a
sugar,fat,NA,NA
orange,structure,a,an
hot,whisky,NA,NA
outside,theater,a,an
grey,snow,NA,NA
phone,call,a,a
bug,book,a,a
charcoal,grill,a,a
stairs,toy,a,a
purple,sandbox,a,a
frog,hat,a,a
yellow,radiator,a,a
purple,chalk,NA,NA
green,turtle,a,a
chocolate,dough,NA,NA
pink,edge,an,a
girl,bunny,a,a
tennis,shoe,a,a
pork,chop,a,a
pillar,box,a,a
orange,juice,NA,NA
plastic,wateringcan,a,a
pink,shirt,a,a
muffin,man,a,a
dragon,piece,a,a
bar,lounge,a,a
baby,carrot,a,a
corn,cookie,a,a
cream,cone,a,a
mama,lion,a,a
plant,house,a,a
light,weight,a,a
bear,costume,a,a
cheese,bag,a,a
dirty,floor,a,a
yellow,crayon,a,a
fish,seafood,NA,NA
picture,window,a,a
goldfish,jumping,NA,NA
bowler,hat,a,a
draw,ticket,a,a
hive,bee,a,a
smoke,tablet,a,a
baby,puppy,a,a
picture,card,a,a
child,person,a,a
green,tree,a,a
cheese,stick,a,a
fork,lift,a,a
peach,cobbler,a,a
toast,cheese,NA,NA
purple,grey,NA,NA
shoe,shop,a,a
orange,tractor,a,an
flat,box,a,a
yellow,lemon,a,a
toy,house,a,a
red,gravy,NA,NA
grill,pan,a,a
toy,block,a,a
bear,face,a,a
terrace,house,a,a
red,plate,a,a
apple,pie,a,an
hot,food,NA,NA
wooden,box,a,a
daddy,tiger,a,a
green,sword,a,a
fatty,lady,a,a
rain,forest,a,a
jelly,bean,a,a
casserole,dish,a,a
baby,seat,a,a
butt,cheek,a,a
licorice,snack,a,a
green,box,a,a
hot,cream,NA,NA
wood,chip,a,a
cooking,meal,a,a
round,puzzle,a,a
magnet,toy,a,a
sketchbook,pad,a,a
slippery,bug,a,a
phone,card,a,a
puzzle,game,a,a
sleeveless,suit,a,a
dark,orange,an,a
camping,school,a,a
daddy,bear,a,a
fish,dinner,a,a
room,closet,a,a
purple,arm,an,a
calendar,date,a,a
pink,cookie,a,a
trash,bin,a,a
honey,bee,a,a
yellow,honey,NA,NA
pinky,toe,a,a
bright,colors,a,a
red,truck,a,a
rail,road,a,a
hot,date,a,a
light,grate,a,a
dead,cereal,NA,NA
letter,factory,a,a
baby,animal,an,a
yellow,lemonade,NA,NA
green,paint,NA,NA
lawn,mower,a,a
tape,head,a,a
dill,pickle,a,a
chocolate,frog,a,a
mud,pit,a,a
green,grey,NA,NA
rusty,nail,a,a
text,book,a,a
sunny,road,a,a
hand,motor,a,a
machine,smock,a,a
lego,boy,a,a
film,star,a,a
sugar,mama,a,a
baby,ice,NA,NA
red,shirt,a,a
paint,tray,a,a
fat,finger,a,a
umbrella,stick,a,an
orange,apple,an,an
toddler,toy,a,a
mama,bear,a,a
sugar,cookie,a,a
pink,limousine,a,a
yellow,butterfly,a,a
round,side,a,a
turtle,brown,NA,NA
ball,bat,a,a
pussy,hair,NA,NA
puppy,blanket,a,a
dead,bug,a,a
color,circle,a,a
hot,oil,NA,NA
rope,walker,a,a
walking,boot,a,a
bird,bath,a,a
family,exercise,an,a
key,chain,a,a
dressing,room,a,a
round,egg,an,a
meat,sandwich,a,a
kissing,hand,a,a
fish,bowl,a,a
bubble,flavor,a,a
spider,leg,a,a
lego,person,a,a
railway,line,a,a
marble,flooring,NA,NA
veggie,cheese,NA,NA
mail,box,a,a
gum,drop,a,a
fish,eye,an,a
bear,hunter,a,a
mutant,toy,a,a
birth,month,a,a
purple,balloon,a,a
purple,phone,a,a
floor,board,a,a
brother,chick,a,a
hot,bag,a,a
record,player,a,a
pink,whale,a,a
dirty,milk,NA,NA
frog,girl,a,a
cream,truck,a,a
feather,painting,a,a
outside,shoe,a,an
red,piece,a,a
strawberry,chocolate,NA,NA
braid,hair,NA,NA
orange,sugar,NA,NA
face,cake,a,a
net,curtain,a,a
lady,toy,a,a
pink,cap,a,a
breaking,limb,a,a
red,tree,a,a
daddy,cow,a,a
painting,bib,a,a
broken,tool,a,a
circus,police,NA,NA
silky,thread,a,a
pink,dress,a,a
crusty,top,a,a
brown,shorts,NA,NA
baby,goat,a,a
fat,milk,NA,NA
foil,tray,a,a
prize,game,a,a
vitamin,pill,a,a
dark,lollipop,a,a
sea,picture,a,a
purple,pepper,a,a
breakfast,cereal,NA,NA
milk,mustache,a,a
red,wine,NA,NA
red,milk,NA,NA
fruit,stall,a,a
fuzzy,flower,a,a
hot,cloth,a,a
junction,box,a,a
yellow,bus,a,a
music,hall,a,a
cooking,breakfast,a,a
fish,game,a,a
girl,deer,a,a
purple,puppy,a,a
brake,drum,a,a
yogurt,juice,NA,NA
baby,owl,an,a
bakery,bread,NA,NA
cheese,slice,a,a
table,leg,a,a
turtle,orange,an,a
conveyor,belt,a,a
fat,marker,a,a
snow,fight,a,a
fishing,hole,a,a
burnt,rubber,NA,NA
hot,honey,NA,NA
snow,night,a,a
hot,sausage,a,a
round,clock,a,a
pear,tree,a,a
green,stool,a,a
pink,stair,a,a
carat,ring,a,a
fur,coat,a,a
skate,boarding,NA,NA
fold,laundry,NA,NA
closet,chair,a,a
giant,belt,a,a
library,tray,a,a
pink,tool,a,a
magazine,rack,a,a
car,station,a,a
sea,turtle,a,a
material,flower,a,a
baby,seal,a,a
pirate,costume,a,a
cow,boy,a,a
yellow,paint,NA,NA
toy,baby,a,a
solid,tape,a,a
yellow,balloon,a,a
wet,face,a,a
orange,hamster,a,an
green,hair,NA,NA
water,kitty,a,a
hot,pattern,a,a
purple,dude,a,a
hot,fan,a,a
bottom,jaw,a,a
gold,bag,a,a
stud,dog,a,a
purple,wiggle,a,a
bright,tomato,a,a
night,raccoon,a,a
marmalade,fish,a,a
wedding,ring,a,a
twin,room,a,a
wiggle,worm,a,a
breakfast,egg,an,a
fishing,rod,a,a
yellow,cup,a,a
foam,piece,a,a
aluminum,rod,a,an
plastic,tray,a,a
gas,mask,a,a
yellow,wing,a,a
hot,ice,NA,NA
paint,shirt,a,a
red,shoe,a,a
coffee,break,a,a
cuckoo,clock,a,a
girl,cup,a,a
toucan,bird,a,a
green,pencil,a,a
family,feast,a,a
circus,bus,a,a
money,machine,a,a
elephant,brooch,a,an
elephant,crying,NA,NA
spiral,grip,a,a
furry,cat,a,a
baby,cup,a,a
paper,cut,a,a
toy,bag,a,a
car,carrier,a,a
tree,top,a,a
fat,cat,a,a
suction,cup,a,a
red,licorice,NA,NA
wet,suit,a,a
hot,car,a,a
outside,piece,a,an
pink,suit,a,a
tennis,racket,a,a
green,cookie,a,a
flying,dragon,a,a
dog,dance,a,a
bunny,jumping,NA,NA
ultrasound,picture,a,an
sliced,potato,a,a
giant,tower,a,a
male,lead,a,a
velvet,slipper,a,a
frog,jump,a,a
push,bike,a,a
face,guy,a,a
ant,block,a,an
tile,floor,a,a
bouncing,spot,a,a
turtle,hat,a,a
plastic,truck,a,a
baby,eagle,an,a
red,ocean,an,a
ball,man,a,a
wet,road,a,a
furry,coach,a,a
red,bracelet,a,a
red,candy,NA,NA
shower,curtain,a,a
jacket,top,a,a
cough,drop,a,a
fish,egg,an,a
picnic,table,a,a
elf,talk,a,an
one,piece,a,a
yellow,ribbon,a,a
yellow,feather,a,a
red,juice,NA,NA
worm,poop,NA,NA
home,page,a,a
strawberry,yogurt,NA,NA
triangle,toast,NA,NA
sperm,cell,a,a
puppy,print,a,a
bottom,light,a,a
red,gym,a,a
green,carrot,a,a
yellow,knee,a,a
purple,footprint,a,a
hot,shake,a,a
teddy,home,a,a
twin,tub,a,a
diaper,baby,a,a
back,plate,a,a
hot,piece,a,a
red,bottom,a,a
red,tongue,a,a
ball,bunny,a,a
red,green,NA,NA
bear,growl,a,a
door,speaker,a,a
purple,room,a,a
prawn,cocktail,a,a
boy,bed,a,a
brown,sweater,a,a
chocolate,cookie,a,a
surface,dwelling,a,a
purple,jacket,a,a
red,snake,a,a
mommy,cup,a,a
octopus,spying,NA,NA
animal,picture,a,an
pond,deer,a,a
children,slip,a,a
dark,pink,NA,NA
army,man,a,an
bean,bag,a,a
dirty,mouse,a,a
sweatshirt,top,a,a
tuna,fish,a,a
night,sign,a,a
burger,bar,a,a
penguin,body,a,a
cream,chocolate,NA,NA
dolphin,show,a,a
hot,wax,NA,NA
wet,spot,a,a
furry,gorilla,a,a
stuffed,puppy,a,a
scout,badge,a,a
blowing,kiss,a,a
dead,leaf,a,a
thick,noodle,a,a
bubble,blower,a,a
purple,bird,a,a
brown,tree,a,a
fire,station,a,a
mama,rabbit,a,a
square,box,a,a
garbage,truck,a,a
red,oval,an,a
bank,manager,a,a
top,lip,a,a
red,butterfly,a,a
farm,book,a,a
welding,rod,a,a
nylon,bag,a,a
purple,ear,an,a
ballet,slipper,a,a
ball,mitt,a,a
boy,mouth,a,a
sycamore,tree,a,a
wet,shirt,a,a
roll,marble,a,a
giant,ball,a,a
purple,cow,a,a
poison,rattlesnake,a,a
color,green,NA,NA
cupboard,door,a,a
brown,piece,a,a
singing,contest,a,a
yellow,head,a,a
furry,teddy,a,a
dirty,corner,a,a
dish,wash,a,a
bright,crayon,a,a
concrete,path,a,a
green,block,a,a
wet,panty,a,a
railroad,track,a,a
ninja,turtle,a,a
green,bed,a,a
heart,muscle,a,a
purple,salad,a,a
foot,piece,a,a
baby,jogger,a,a
street,car,a,a
hall,closet,a,a
yellow,chair,a,a
furry,costume,a,a
soap,bottle,a,a
grey,shorts,NA,NA
mommy,bear,a,a
blind,spot,a,a
purple,kangaroo,a,a
house,beam,a,a
castle,book,a,a
rectangle,book,a,a
sand,block,a,a
cement,truck,a,a
grey,cat,a,a
oven,mitt,a,an
fruit,shop,a,a
muscle,man,a,a
giant,gorilla,a,a
shadow,line,a,a
strawberry,patch,a,a
movie,theater,a,a
cat,litter,NA,NA
snow,melt,a,a
dark,light,a,a
elephant,book,a,an
yellow,cartridge,a,a
food,card,a,a
round,hoop,a,a
pink,sand,NA,NA
yellow,box,a,a
light,beam,a,a
fish,sticker,a,a
baby,alarm,an,a
foot,radiator,a,a
foot,pruner,a,a
raspberry,patch,a,a
pine,tree,a,a
purple,cap,a,a
block,house,a,a
ant,trap,a,an
orange,drop,a,an
wooden,track,a,a
petrol,tank,a,a
caramel,cluster,a,a
shrub,border,a,a
pointy,tip,a,a
car,park,a,a
aphid,sandwich,a,an
yellow,neon,NA,NA
bubble,world,a,a
yellow,horse,a,a
ostrich,leg,a,an
coffee,grinder,a,a
skunk,stew,a,a
red,bat,a,a
video,recorder,a,a
wet,mommy,a,a
pita,bread,NA,NA
striped,worm,a,a
bum,worker,a,a
hot,day,a,a
silk,worm,a,a
fish,market,a,a
water,bridge,a,a
purple,fish,a,a
lace,cover,a,a
sugar,water,NA,NA
flat,mat,a,a
wife,battering,a,a
slippery,soap,NA,NA
paper,airplane,an,a
olive,oil,NA,NA
sweet,sauce,NA,NA
blind,eye,an,a
people,zombie,a,a
bedroom,room,a,a
soy,sauce,NA,NA
sea,mammal,a,a
silky,ear,an,a
church,minister,a,a
red,paper,a,a
dirty,laundry,NA,NA
bubble,blow,a,a
wooden,sword,a,a
flat,land,NA,NA
pink,ring,a,a
boy,pants,NA,NA
popcorn,maker,a,a
dress,clothes,NA,NA
school,bus,a,a
fat,baby,a,a
furniture,shop,a,a
pull,toy,a,a
brown,squirrel,a,a
farm,truck,a,a
curry,rice,NA,NA
vanilla,cookie,a,a
red,block,a,a
round,ball,a,a
green,chest,a,a
people,group,a,a
train,yard,a,a
aquarium,car,a,an
mural,show,a,a
daddy,kiss,a,a
squid,soda,NA,NA
red,wing,a,a
food,group,a,a
thick,head,a,a
sweet,pepper,a,a
yellow,collar,a,a
yellow,chick,a,a
striped,fish,a,a
wooden,spoon,a,a
red,boot,a,a
green,money,NA,NA
fuzzy,tail,a,a
purple,color,a,a
fold,blanket,a,a
yellow,bib,a,a
upstairs,cafe,a,an
game,mommy,a,a
witch,castle,a,a
dead,horse,a,a
train,piece,a,a
stroke,room,a,a
red,circle,a,a
thick,marmalade,NA,NA
rainbow,crayon,a,a
princess,puzzle,a,a
purple,pentagon,a,a
flying,horse,a,a
orange,planet,a,an
glass,house,a,a
brown,dot,a,a
screw,driver,a,a
wet,snow,NA,NA
solid,door,a,a
yellow,dinosaur,a,a
giant,piece,a,a
purple,scribble,a,a
lego,girl,a,a
grey,cloud,a,a
dark,pet,a,a
daddy,elephant,an,a
dirty,pamper,a,a
town,clerk,a,a
freeze,pop,a,a
naked,baby,a,a
wet,glue,NA,NA
farm,dog,a,a
alphabet,toy,a,an
toast,stick,a,a
lace,curtain,a,a
meat,pie,a,a
lily,pad,a,a
blond,girl,a,a
dairy,barn,a,a
green,casing,a,a
dead,man,a,a
red,pickle,a,a
baby,cot,a,a
yoyo,ball,a,a
fish,animal,an,a
elephant,leg,a,an
table,tennis,NA,NA
skunk,baby,a,a
water,tank,a,a
ant,powder,NA,NA
brass,plate,a,a
yellow,tape,a,a
head,stand,a,a
purple,heart,a,a
tv,retailer,a,a
purple,dress,a,a
broom,sweep,a,a
staff,entertainment,NA,NA
car,stair,a,a
floor,face,a,a
bright,man,a,a
dress,ring,a,a
bowl,bud,a,a
green,mouth,a,a
strawberry,cream,NA,NA
dog,house,a,a
laughing,baby,a,a
mirror,tile,a,a
freezing,plant,a,a
worm,food,NA,NA
bubble,maker,a,a
bubble,soup,NA,NA
dog,park,a,a
fairy,baby,a,a
pink,ball,a,a
classroom,window,a,a
purple,snake,a,a
mud,line,a,a
office,group,a,an
glass,cover,a,a
pet,food,NA,NA
frog,house,a,a
mouse,driver,a,a
wet,filter,a,a
flip,top,a,a
red,sand,NA,NA
hot,room,a,a
purple,soda,NA,NA
toy,ship,a,a
daddy,book,a,a
game,contestant,a,a
red,bunny,a,a
ear,phone,a,an
dinosaur,sticker,a,a
green,train,a,a
dirty,honey,NA,NA
shoe,horn,a,a
bunny,cloud,a,a
red,cherry,a,a
candy,bag,a,a
green,pop,a,a
dog,cheese,NA,NA
yellow,dot,a,a
cough,medicine,NA,NA
hot,potato,a,a
ball,game,a,a
mail,person,a,a
green,paddle,a,a
candy,gumball,a,a
boy,bear,a,a
hind,foot,a,a
yellow,fish,a,a
wet,rag,a,a
pink,pillow,a,a
red,car,a,a
orange,hippo,a,an
brother,tiger,a,a
water,toy,a,a
green,eye,an,a
pink,orange,an,a
fly,soup,NA,NA
puppet,house,a,a
night,bear,a,a
inch,wire,a,an
bread,pasta,NA,NA
karate,girl,a,a
nursery,school,a,a
red,jeep,a,a
pink,tulip,a,a
beach,ball,a,a
dark,suit,a,a
orange,arm,an,an
stick,bug,a,a
kitchen,water,NA,NA
ground,rice,NA,NA
carpet,tile,a,a
mommy,room,a,a
brown,paper,a,a
bunny,blanket,a,a
grey,shoe,a,a
moon,beam,a,a
red,match,a,a
hot,pan,a,a
top,shop,a,a
pill,pen,a,a
pink,purple,NA,NA
peg,leg,a,a
frozen,chicken,a,a
outside,hallway,a,an
doctor,visit,a,a
singing,mommy,a,a
pretzel,stick,a,a
toy,bin,a,a
engine,shed,a,an
princess,cake,a,a
trigger,fish,a,a
kids,day,a,a
hot,cup,a,a
plastic,table,a,a
log,book,a,a
fish,tank,a,a
poison,stem,a,a
chief,accountant,an,a
bear,mitten,a,a
forty,pound,a,a
bean,dish,a,a
dirty,cloth,a,a
green,bean,a,a
baby,bear,a,a
wet,foot,a,a
diamond,button,a,a
letter,box,a,a
swim,shoe,a,a
bird,girl,a,a
battery,game,a,a
mermaid,hole,a,a
dragon,guy,a,a
top,hit,a,a
round,circle,a,a
brown,cookie,a,a
fuzzy,ear,an,a
broken,toe,a,a
fire,man,a,a
orange,monkey,a,an
noodle,worm,a,a
silver,line,a,a
mommy,chair,a,a
red,spot,a,a
dolly,dress,a,a
hummus,bread,NA,NA
red,fish,a,a
apple,barrel,a,an
plastic,tunnel,a,a
red,lid,a,a
cardboard,cylinder,a,a
green,fire,NA,NA
green,circle,a,a
yellow,lid,a,a
chalk,duster,a,a
sweet,bread,NA,NA
green,cap,a,a
meadow,walk,a,a
baby,moon,a,a
hound,letter,a,a
pony,piece,a,a
water,man,a,a
hot,syrup,NA,NA
frozen,pea,a,a
shelve,divider,a,a
key,ring,a,a
baby,buggy,a,a
people,rug,a,a
bottom,picture,a,a
bathroom,room,a,a
pink,sword,a,a
pink,bottom,a,a
top,refrigerator,a,a
table,honey,NA,NA
dark,bath,a,a
tooth,book,a,a
daddy,chair,a,a
leg,room,a,a
oat,meal,a,an
trash,block,a,a
bright,red,NA,NA
potty,chair,a,a
dirty,bubble,a,a
violin,teacher,a,a
purple,suit,a,a
cutting,board,a,a
cathedral,choir,a,a
yellow,plane,a,a
astronaut,costume,a,an
door,handle,a,a
pink,block,a,a
bottom,dollar,a,a
pink,tunnel,a,a
green,knife,a,a
telephone,call,a,a
orange,shirt,a,an
tartar,taste,a,a
bible,school,a,a
baby,mama,a,a
green,noodle,a,a
machinery,catalogue,a,a
chicken,noodle,a,a
top,shelf,a,a
plastic,wallet,a,a
square,yard,a,a
metal,piece,a,a
mommy,tiger,a,a
yellow,picture,a,a
computer,person,a,a
guy,knight,a,a
brake,fluid,NA,NA
purple,ketchup,NA,NA
wall,tile,a,a
sister,fight,a,a
coffee,bean,a,a
dinosaur,head,a,a
solid,block,a,a
purple,pad,a,a
hot,balloon,a,a
toy,puppy,a,a
orange,bag,a,an
green,scissor,a,a
red,cheek,a,a
round,tower,a,a
plastic,glasses,NA,NA
banana,apple,an,a
suite,shower,a,a
granddad,kiss,a,a
broken,bat,a,a
brick,house,a,a
plastic,container,a,a
peanut,butter,NA,NA
yellow,curtain,a,a
car,track,a,a
animal,book,a,an
sailor,collar,a,a
post,office,an,a
red,knob,a,a
orange,soda,NA,NA
ant,food,NA,NA
purple,sweater,a,a
orange,block,a,an
purple,leg,a,a
questionnaire,letter,a,a
baby,turtle,a,a
tee,shirt,a,a
water,running,NA,NA
wheelie,bin,a,a
furniture,curtain,a,a
water,honey,NA,NA
room,sweet,a,a
picture,rail,a,a
toy,closet,a,a
honey,butter,NA,NA
red,toy,a,a
standing,wall,a,a
bread,roll,a,a
brown,hair,NA,NA
red,sky,a,a
oil,pot,a,an
wet,water,NA,NA
red,tricycle,a,a
door,step,a,a
purple,bracelet,a,a
video,player,a,a
baby,bee,a,a
boy,bike,a,a
kitchen,window,a,a
yellow,orange,an,a
brown,blanket,a,a
red,van,a,a
hot,roll,a,a
bacon,toast,NA,NA
spinach,dip,a,a
garden,soil,NA,NA
cough,syrup,NA,NA
elephant,garland,a,an
press,office,an,a
passenger,car,a,a
elephant,weight,a,an
purple,cranium,a,a
light,orange,an,a
princess,snack,a,a
secretary,table,a,a
ocean,train,a,an
asteroid,hit,a,an
fat,pig,a,a
bible,road,a,a
yellow,mommy,a,a
hot,rice,NA,NA
dinosaur,artifact,an,a
mommy,cat,a,a
bouncing,ball,a,a
game,marble,a,a
bear,workshop,a,a
upstairs,stair,a,an
pee,pod,a,a
green,red,NA,NA
country,house,a,a
plum,soup,NA,NA
purple,bath,a,a
wet,rug,a,a
hall,lighting,NA,NA
foot,print,a,a
pink,crayon,a,a
crab,line,a,a
dog,walk,a,a
bright,spot,a,a
chocolate,lollipop,a,a
street,shop,a,a
dirty,face,a,a
furry,platypus,a,a
mud,water,NA,NA
picture,wall,a,a
light,flashing,NA,NA
outhouse,door,a,an
microscope,spotlight,a,a
paper,shop,a,a
red,flap,a,a
video,tape,a,a
car,door,a,a
ant,aphid,an,an
art,museum,a,an
thick,gland,a,a
stag,group,a,a
milk,jug,a,a
baby,bird,a,a
singing,drawer,a,a
bathing,suit,a,a
brass,dart,a,a
dressing,table,a,a
red,bed,a,a
purple,window,a,a
spot,check,a,a
bear,teddy,a,a
banana,tree,a,a
dogs,barking,NA,NA
top,drawer,a,a
horse,running,NA,NA
eleven,pound,a,an
fire,officer,an,a
weight,bag,a,a
whisky,ginger,NA,NA
red,string,a,a
icy,mountain,a,an
orange,rain,NA,NA
oatmeal,cookie,a,an
food,company,a,a
wooden,floor,a,a
strawberry,bar,a,a
bear,jump,a,a
banana,mess,a,a
farm,house,a,a
red,tomato,a,a
shop,envelope,an,a
bottom,drawer,a,a
yellow,school,a,a
computer,game,a,a
doggy,tail,a,a
melon,ball,a,a
tea,room,a,a
naked,mole,a,a
bunny,book,a,a
bug,spray,a,a
brown,train,a,a
flower,pot,a,a
scaly,skin,NA,NA
hot,dog,a,a
red,bike,a,a
flat,cheese,NA,NA
stuffed,animal,an,a
diaper,wipe,a,a
night,plane,a,a
yellow,bird,a,a
pop,opera,an,a
tree,house,a,a
dark,leaf,a,a
yellow,mom,a,a
red,street,a,a
pink,hair,NA,NA
man,mum,a,a
fish,jelly,NA,NA
bus,park,a,a
baby,talk,a,a
orange,guy,a,an
thick,mustache,a,a
compost,pile,a,a
press,jacket,a,a
spider,head,a,a
green,tie,a,a
ear,lobe,a,an
back,room,a,a
outside,bird,a,an
kid,driving,NA,NA
gold,coffee,NA,NA
honey,pot,a,a
purple,book,a,a
wedding,day,a,a
moon,rover,a,a
dark,snake,a,a
penny,packet,a,a
car,driver,a,a
plastic,back,a,a
orange,colors,a,an
apple,juicer,a,an
green,mountain,a,a
yellow,hippo,a,a
hot,mama,a,a
red,onion,an,a
cherry,tomato,a,a
doll,house,a,a
giant,puppet,a,a
motor,car,a,a
dark,lounge,a,a
brown,sugar,NA,NA
telephone,ringing,NA,NA
red,pillow,a,a
silver,ship,a,a
hot,sundae,a,a
pink,elephant,an,a
brown,doggie,a,a
yogurt,hair,NA,NA
kids,honey,NA,NA
guy,walking,NA,NA
taller,spoon,a,a
pirate,necklace,a,a
cloudy,day,a,a
pink,towel,a,a
baby,snail,a,a
purple,ring,a,a
tv,company,a,a
sunny,side,a,a
purple,car,a,a
green,monkey,a,a
broken,door,a,a
pink,bear,a,a
home,sign,a,a
plastic,mat,a,a
home,committee,a,a
dinosaur,book,a,a
male,goldfish,a,a
saw,blade,a,a
baby,deer,a,a
vampire,zombie,a,a
monkey,whisper,a,a
bathroom,shop,a,a
panel,radiator,a,a
kitchen,net,a,a
red,horn,a,a
outside,shell,a,an
octopus,show,a,an
racing,pigeon,a,a
green,shamrock,a,a
land,motorway,a,a
pregnant,blond,a,a
yellow,scarf,a,a
track,record,a,a
shovel,scoop,a,a
colors,green,NA,NA
orange,bug,a,an
green,lego,a,a
crease,mark,a,a
green,dish,a,a
baby,hair,NA,NA
gold,plate,a,a
piggy,bank,a,a
sugar,cube,a,a
hay,ride,a,a
pink,flower,a,a
red,rectangle,a,a
squirt,toy,a,a
panel,game,a,a
fridge,freezer,a,a
lock,stock,NA,NA
naked,child,a,a
gold,star,a,a
gold,band,a,a
room,bathroom,a,a
ceiling,tile,a,a
dirty,swine,a,a
trash,yard,a,a
apple,book,a,an
puffin,nose,a,a
tv,day,a,a
light,car,a,a
butterfly,cake,a,a
freeze,popsicle,a,a
girl,boot,a,a
bunny,mask,a,a
goose,mama,a,a
gas,bill,a,a
hot,daddy,a,a
yellow,fuzz,NA,NA
dorsal,fin,a,a
fairy,pony,a,a
singing,voice,a,a
purple,rain,NA,NA
message,machine,a,a
bait,shop,a,a
litter,tray,a,a
stuffed,mushroom,a,a
leather,jacket,a,a
teddy,book,a,a
brown,baby,a,a
guy,dancing,NA,NA
dressing,gown,a,a
apple,feast,a,an
cracker,sandwich,a,a
green,cheese,NA,NA
tiger,costume,a,a
butter,sandwich,a,a
dinosaur,map,a,a
red,apple,an,a
lady,bug,a,a
red,barn,a,a
light,bulb,a,a
cookie,jar,a,a
tool,box,a,a
spiky,fish,a,a
gingerbread,guy,a,a
orange,balloon,a,an
taller,one,a,a
green,doggy,a,a
tooth,mark,a,a
juicy,juice,NA,NA
dust,rag,a,a
day,break,a,a
mitten,tree,a,a
purple,pants,NA,NA
stereo,computer,a,a
purple,red,NA,NA
railway,track,a,a
yellow,roof,a,a
brake,pad,a,a
pink,hat,a,a
back,row,a,a
sleeveless,top,a,a
red,pepper,a,a
elbow,hair,NA,NA
green,egg,an,a
tank,top,a,a
yellow,toe,a,a
lady,car,a,a
robot,head,a,a
shoe,store,a,a
chap,advertising,NA,NA
daddy,fish,a,a
yellow,driver,a,a
dog,dirt,NA,NA
quarter,bag,a,a
top,handle,a,a
choir,boy,a,a
brown,mommy,a,a
paper,bag,a,a
dead,baby,a,a
pink,paper,a,a
hotel,room,a,a
hot,cereal,NA,NA
baby,fish,a,a
ocean,book,a,an
tape,recorder,a,a
suite,room,a,a
purple,edge,an,a
rock,honey,NA,NA
yellow,lady,a,a
metal,door,a,a
telephone,cord,a,a
tail,piece,a,a
garden,hose,a,a
water,boil,a,a
cotton,lining,a,a
red,berry,a,a
dolly,clothes,NA,NA
top,tooth,a,a
raisin,cookie,a,a
purple,mom,a,a
bubble,bath,a,a
exit,entrance,an,an
bear,home,a,a
smiley,sticker,a,a
slippery,leg,a,a
hot,strawberry,a,a
giant,dragon,a,a
pear,yogurt,NA,NA
red,honey,NA,NA
shoe,wax,NA,NA
